time,P,G(i),H_sun,T2m,WS10m,Int
20140105:0410,0.0,0.0,0.0,3.45,0.98,0.0
20140105:0510,0.0,0.0,0.0,3.42,1.09,0.0
20140105:0610,8000.0,5.68,2.28,3.39,1.19,0.0
20140105:0710,10004800.0,87.84,11.52,5.33,0.85,0.0
20140105:0810,14708800.0,122.5,19.23,7.27,0.51,0.0
20140105:0910,16072000.0,133.62,24.83,9.21,0.17,0.0
20140105:1010,20598400.0,166.88,27.74,10.31,0.48,0.0
20140105:1110,30894400.0,241.41,27.55,11.4,0.79,0.0
20140105:1210,7422400.0,70.95,24.29,12.5,1.1,0.0
20140105:1310,6966400.0,67.16,18.4,11.45,1.29,0.0
20140105:1410,11084800.0,97.64,10.48,10.39,1.48,0.0
20140105:1510,0.0,0.0,0.0,9.34,1.67,0.0
20140105:1610,0.0,0.0,0.0,8.67,1.26,0.0
20140105:1710,0.0,0.0,0.0,8.01,0.84,0.0
20140105:1810,0.0,0.0,0.0,7.34,0.43,0.0
20140105:1910,0.0,0.0,0.0,6.99,0.61,0.0
20140105:2010,0.0,0.0,0.0,6.64,0.8,0.0
20140105:2110,0.0,0.0,0.0,6.29,0.98,0.0
20140105:2210,0.0,0.0,0.0,6.38,0.88,0.0
20140105:2310,0.0,0.0,0.0,6.46,0.78,0.0
20140106:0010,0.0,0.0,0.0,6.55,0.68,0.0
20140106:0110,0.0,0.0,0.0,6.96,0.62,0.0
20140106:0210,0.0,0.0,0.0,7.36,0.56,0.0
20140106:0310,0.0,0.0,0.0,7.77,0.5,0.0
20140106:0410,0.0,0.0,0.0,7.89,0.69,0.0
20140106:0510,0.0,0.0,0.0,8.01,0.87,0.0
20140106:0610,193600.0,8.51,2.29,8.14,1.06,0.0
20140106:0710,4361600.0,46.35,11.55,8.73,0.98,0.0
20140106:0810,14972800.0,125.33,19.28,9.32,0.91,0.0
20140106:0910,18456000.0,150.93,24.91,9.91,0.83,0.0
20140106:1010,35249600.0,271.25,27.84,10.16,0.84,0.0
20140106:1110,38056000.0,291.69,27.67,10.4,0.85,0.0
20140106:1210,21662400.0,174.27,24.44,10.65,0.86,0.0
20140106:1310,5156800.0,52.97,18.55,10.52,0.83,0.0
20140106:1410,584000.0,13.24,10.63,10.39,0.81,0.0
20140106:1510,0.0,0.0,0.0,10.26,0.79,0.0
20140106:1610,0.0,0.0,0.0,9.76,0.79,0.0
20140106:1710,0.0,0.0,0.0,9.27,0.79,0.0
20140106:1810,0.0,0.0,0.0,8.77,0.79,0.0
20140106:1910,0.0,0.0,0.0,8.43,0.79,0.0
20140106:2010,0.0,0.0,0.0,8.09,0.8,0.0
20140106:2110,0.0,0.0,0.0,7.75,0.8,0.0
20140106:2210,0.0,0.0,0.0,7.47,0.78,0.0
20140106:2310,0.0,0.0,0.0,7.18,0.76,0.0
20140107:0010,0.0,0.0,0.0,6.89,0.74,0.0
20140107:0110,0.0,0.0,0.0,6.77,0.8,0.0
20140107:0210,0.0,0.0,0.0,6.65,0.85,0.0
20140107:0310,0.0,0.0,0.0,6.53,0.9,0.0
20140107:0410,0.0,0.0,0.0,6.26,0.94,0.0
20140107:0510,0.0,0.0,0.0,5.99,0.99,0.0
20140107:0610,0.0,2.84,2.31,5.73,1.03,0.0
20140107:0710,4868800.0,50.14,11.58,7.61,1.05,0.0
20140107:0810,51073600.0,383.52,19.34,9.5,1.07,0.0
20140107:0910,89048000.0,681.9,25.0,11.39,1.09,0.0
20140107:1010,98302400.0,760.31,27.95,12.25,1.28,0.0
20140107:1110,93451200.0,720.96,27.81,13.12,1.48,0.0
20140107:1210,73988800.0,564.91,24.58,13.98,1.67,0.0
20140107:1310,73704000.0,563.41,18.71,13.71,1.49,0.0
20140107:1410,42918400.0,334.39,10.79,13.43,1.32,0.0
20140107:1510,0.0,0.0,0.0,13.16,1.14,0.0
20140107:1610,0.0,0.0,0.0,11.55,1.27,0.0
20140107:1710,0.0,0.0,0.0,9.94,1.39,0.0
20140107:1810,0.0,0.0,0.0,8.32,1.52,0.0
20140107:1910,0.0,0.0,0.0,7.5,1.43,0.0
20140107:2010,0.0,0.0,0.0,6.68,1.34,0.0
20140107:2110,0.0,0.0,0.0,5.85,1.26,0.0
20140107:2210,0.0,0.0,0.0,5.36,1.35,0.0
20140107:2310,0.0,0.0,0.0,4.86,1.45,0.0
20140108:0010,0.0,0.0,0.0,4.36,1.54,0.0
20140108:0110,0.0,0.0,0.0,5.01,1.44,0.0
20140108:0210,0.0,0.0,0.0,5.65,1.33,0.0
20140108:0310,0.0,0.0,0.0,6.3,1.23,0.0
20140108:0410,0.0,0.0,0.0,5.94,1.21,0.0
20140108:0510,0.0,0.0,0.0,5.58,1.19,0.0
20140108:0610,2656000.0,34.41,2.33,5.23,1.17,0.0
20140108:0710,49419200.0,371.82,11.63,6.97,1.08,0.0
20140108:0810,81832000.0,616.3,19.41,8.71,0.99,0.0
20140108:0910,101609600.0,785.23,25.09,10.46,0.9,0.0
20140108:1010,110052800.0,858.62,28.07,11.84,1.28,0.0
20140108:1110,108785600.0,848.11,27.95,13.23,1.66,0.0
20140108:1210,96872000.0,748.17,24.74,14.61,2.04,0.0
20140108:1310,76459200.0,587.19,18.87,14.14,1.37,0.0
20140108:1410,44692800.0,349.58,10.95,13.66,0.71,0.0
20140108:1510,0.0,0.0,0.0,13.19,0.04,0.0
20140108:1610,0.0,0.0,0.0,11.72,0.53,0.0
20140108:1710,0.0,0.0,0.0,10.25,1.03,0.0
20140108:1810,0.0,0.0,0.0,8.78,1.52,0.0
20140108:1910,0.0,0.0,0.0,7.89,1.38,0.0
20140108:2010,0.0,0.0,0.0,7.0,1.24,0.0
20140108:2110,0.0,0.0,0.0,6.11,1.1,0.0
20140108:2210,0.0,0.0,0.0,5.33,1.2,0.0
20140108:2310,0.0,0.0,0.0,4.54,1.29,0.0
20140109:0010,0.0,0.0,0.0,3.75,1.38,0.0
20140109:0110,0.0,0.0,0.0,3.38,1.27,0.0
20140109:0210,0.0,0.0,0.0,3.0,1.17,0.0
20140109:0310,0.0,0.0,0.0,2.63,1.06,0.0
20140109:0410,0.0,0.0,0.0,1.92,1.08,0.0
20140109:0510,0.0,0.0,0.0,1.21,1.1,0.0
20140109:0610,3526400.0,41.62,2.36,0.51,1.12,0.0
20140109:0710,51627200.0,383.29,11.68,3.88,0.89,0.0
20140109:0810,82032000.0,616.33,19.48,7.25,0.66,0.0
20140109:0910,100801600.0,786.79,25.19,10.63,0.43,0.0
20140109:1010,107972800.0,854.05,28.2,12.13,0.61,0.0
20140109:1110,106432000.0,843.7,28.1,13.62,0.8,0.0
20140109:1210,94819200.0,745.2,24.9,15.12,0.98,0.0
20140109:1310,75168000.0,584.07,19.04,15.01,0.75,0.0
20140109:1410,43588800.0,343.44,11.11,14.91,0.53,0.0
20140109:1510,0.0,0.0,0.0,14.8,0.3,0.0
20140109:1610,0.0,0.0,0.0,13.39,0.58,0.0
20140109:1710,0.0,0.0,0.0,11.98,0.86,0.0
20140109:1810,0.0,0.0,0.0,10.57,1.13,0.0
20140109:1910,0.0,0.0,0.0,9.69,1.21,0.0
20140109:2010,0.0,0.0,0.0,8.81,1.29,0.0
20140109:2110,0.0,0.0,0.0,7.93,1.37,0.0
20140109:2210,0.0,0.0,0.0,7.49,1.29,0.0
20140109:2310,0.0,0.0,0.0,7.04,1.22,0.0
20140110:0010,0.0,0.0,0.0,6.59,1.14,0.0
20140110:0110,0.0,0.0,0.0,5.18,1.2,0.0
20140110:0210,0.0,0.0,0.0,3.76,1.26,0.0
20140110:0310,0.0,0.0,0.0,2.35,1.32,0.0
20140110:0410,0.0,0.0,0.0,2.37,1.39,0.0
20140110:0510,0.0,0.0,0.0,2.38,1.46,0.0
20140110:0610,2736000.0,34.69,2.4,2.4,1.53,0.0
20140110:0710,50059200.0,372.48,11.73,4.72,1.17,0.0
20140110:0810,77608000.0,579.73,19.56,7.04,0.8,0.0
20140110:0910,98652800.0,762.93,25.3,9.37,0.44,0.0
20140110:1010,110686400.0,873.9,28.34,10.45,0.44,0.0
20140110:1110,106150400.0,838.71,28.25,11.53,0.43,0.0
20140110:1210,95395200.0,748.22,25.07,12.61,0.43,0.0
20140110:1310,74582400.0,572.76,19.21,11.96,0.48,0.0
20140110:1410,47177600.0,364.84,11.29,11.32,0.53,0.0
20140110:1510,0.0,0.0,0.0,10.67,0.58,0.0
20140110:1610,0.0,0.0,0.0,9.83,1.01,0.0
20140110:1710,0.0,0.0,0.0,8.99,1.44,0.0
20140110:1810,0.0,0.0,0.0,8.14,1.88,0.0
20140110:1910,0.0,0.0,0.0,7.67,1.71,0.0
20140110:2010,0.0,0.0,0.0,7.2,1.54,0.0
20140110:2110,0.0,0.0,0.0,6.73,1.37,0.0
20140110:2210,0.0,0.0,0.0,6.7,1.37,0.0
20140110:2310,0.0,0.0,0.0,6.66,1.37,0.0
20140111:0010,0.0,0.0,0.0,6.62,1.37,0.0
20140111:0110,0.0,0.0,0.0,6.97,1.19,0.0
20140111:0210,0.0,0.0,0.0,7.31,1.02,0.0
20140111:0310,0.0,0.0,0.0,7.66,0.84,0.0
20140111:0410,0.0,0.0,0.0,7.43,0.99,0.0
20140111:0510,0.0,0.0,0.0,7.2,1.14,0.0
20140111:0610,3283200.0,40.5,2.44,6.97,1.3,0.0
20140111:0710,48097600.0,365.12,11.8,8.64,1.01,0.0
20140111:0810,79835200.0,607.77,19.65,10.31,0.72,0.0
20140111:0910,94596800.0,739.06,25.42,11.99,0.43,0.0
20140111:1010,101036800.0,796.0,28.48,12.88,0.63,0.0
20140111:1110,103105600.0,814.37,28.42,13.76,0.84,0.0
20140111:1210,95771200.0,750.59,25.24,14.65,1.05,0.0
20140111:1310,58011200.0,445.89,19.39,14.26,0.84,0.0
20140111:1410,31638400.0,251.04,11.46,13.88,0.63,0.0
20140111:1510,0.0,0.0,0.0,13.49,0.43,0.0
20140111:1610,0.0,0.0,0.0,12.51,0.56,0.0
20140111:1710,0.0,0.0,0.0,11.54,0.69,0.0
20140111:1810,0.0,0.0,0.0,10.56,0.83,0.0
20140111:1910,0.0,0.0,0.0,9.81,1.11,0.0
20140111:2010,0.0,0.0,0.0,9.06,1.39,0.0
20140111:2110,0.0,0.0,0.0,8.31,1.67,0.0
20140111:2210,0.0,0.0,0.0,8.01,1.36,0.0
20140111:2310,0.0,0.0,0.0,7.7,1.04,0.0
20140112:0010,0.0,0.0,0.0,7.4,0.73,0.0
20140112:0110,0.0,0.0,0.0,6.68,0.95,0.0
20140112:0210,0.0,0.0,0.0,5.97,1.17,0.0
20140112:0310,0.0,0.0,0.0,5.25,1.39,0.0
20140112:0410,0.0,0.0,0.0,5.86,1.15,0.0
20140112:0510,0.0,0.0,0.0,6.46,0.91,0.0
20140112:0610,0.0,4.73,2.49,7.07,0.68,0.0
20140112:0710,14716800.0,123.39,11.87,8.77,0.57,0.0
20140112:0810,43851200.0,333.88,19.75,10.47,0.46,0.0
20140112:0910,89150400.0,694.49,25.54,12.18,0.36,0.0
20140112:1010,103331200.0,818.84,28.63,13.02,0.52,0.0
20140112:1110,104592000.0,830.67,28.59,13.87,0.69,0.0
20140112:1210,93667200.0,735.56,25.42,14.71,0.86,0.0
20140112:1310,76265600.0,589.4,19.57,14.3,0.92,0.0
20140112:1410,44830400.0,349.65,11.64,13.9,0.98,0.0
20140112:1510,0.0,0.0,0.0,13.49,1.05,0.0
20140112:1610,0.0,0.0,0.0,12.41,1.06,0.0
20140112:1710,0.0,0.0,0.0,11.33,1.08,0.0
20140112:1810,0.0,0.0,0.0,10.24,1.09,0.0
20140112:1910,0.0,0.0,0.0,9.87,1.04,0.0
20140112:2010,0.0,0.0,0.0,9.5,0.99,0.0
20140112:2110,0.0,0.0,0.0,9.12,0.94,0.0
20140112:2210,0.0,0.0,0.0,8.61,0.99,0.0
20140112:2310,0.0,0.0,0.0,8.09,1.05,0.0
