time,P,G(i),H_sun,T2m,WS10m,Int
20140101:0010,0.0,0.0,0.0,1.94,1.85,0.0
20140101:0110,0.0,0.0,0.0,2.1,1.63,0.0
20140101:0210,0.0,0.0,0.0,2.25,1.42,0.0
20140101:0310,0.0,0.0,0.0,2.41,1.2,0.0
20140101:0410,0.0,0.0,0.0,2.23,1.04,0.0
20140101:0510,0.0,0.0,0.0,2.05,0.88,0.0
20140101:0610,0.0,0.0,0.0,1.87,0.72,0.0
20140101:0710,3316150.0,39.73,10.72,2.09,0.74,0.0
20140101:0810,21338200.0,180.74,18.3,2.31,0.75,0.0
20140101:0910,11006950.0,102.17,23.8,2.53,0.77,0.0
20140101:1010,8482500.0,82.3,26.65,2.47,0.61,0.0
20140101:1110,7770550.0,76.62,26.46,2.41,0.44,0.0
20140101:1210,5093850.0,54.87,23.29,2.35,0.28,0.0
20140101:1310,6945500.0,70.0,17.51,2.39,0.38,0.0
20140101:1410,556800.0,13.24,9.72,2.43,0.48,0.0
20140101:1510,0.0,0.0,0.0,2.47,0.58,0.0
20140101:1610,0.0,0.0,0.0,2.03,0.63,0.0
20140101:1710,0.0,0.0,0.0,1.59,0.67,0.0
20140101:1810,0.0,0.0,0.0,1.15,0.72,0.0
20140101:1910,0.0,0.0,0.0,0.79,0.77,0.0
20140101:2010,0.0,0.0,0.0,0.42,0.83,0.0
20140101:2110,0.0,0.0,0.0,0.06,0.88,0.0
20140101:2210,0.0,0.0,0.0,-0.23,0.66,0.0
20140101:2310,0.0,0.0,0.0,-0.51,0.43,0.0
20140102:0010,0.0,0.0,0.0,-0.79,0.21,0.0
20140102:0110,0.0,0.0,0.0,-0.52,0.2,0.0
20140102:0210,0.0,0.0,0.0,-0.25,0.2,0.0
20140102:0310,0.0,0.0,0.0,0.02,0.19,0.0
20140102:0410,0.0,0.0,0.0,-0.1,0.31,0.0
20140102:0510,0.0,0.0,0.0,-0.22,0.43,0.0
20140102:0610,0.0,0.0,0.0,-0.35,0.55,0.0
20140102:0710,7582050.0,74.72,10.72,1.06,0.4,0.0
20140102:0810,12240900.0,111.76,18.33,2.47,0.26,0.0
20140102:0910,15433800.0,137.48,23.85,3.88,0.11,0.0
20140102:1010,18184450.0,159.41,26.72,4.82,0.21,0.0
20140102:1110,22856350.0,196.23,26.56,5.76,0.3,0.0
20140102:1210,15538200.0,139.72,23.4,6.7,0.4,0.0
20140102:1310,9920900.0,95.15,17.64,6.38,0.3,0.0
20140102:1410,8450600.0,83.35,9.85,6.06,0.2,0.0
20140102:1510,0.0,0.0,0.0,5.74,0.1,0.0
20140102:1610,0.0,0.0,0.0,5.41,0.66,0.0
20140102:1710,0.0,0.0,0.0,5.07,1.22,0.0
20140102:1810,0.0,0.0,0.0,4.74,1.78,0.0
20140102:1910,0.0,0.0,0.0,4.42,1.65,0.0
20140102:2010,0.0,0.0,0.0,4.09,1.51,0.0
20140102:2110,0.0,0.0,0.0,3.77,1.38,0.0
20140102:2210,0.0,0.0,0.0,3.25,1.24,0.0
20140102:2310,0.0,0.0,0.0,2.73,1.09,0.0
20140103:0010,0.0,0.0,0.0,2.22,0.95,0.0
20140103:0110,0.0,0.0,0.0,1.49,0.71,0.0
20140103:0210,0.0,0.0,0.0,0.75,0.46,0.0
20140103:0310,0.0,0.0,0.0,0.02,0.22,0.0
20140103:0410,0.0,0.0,0.0,-0.66,0.25,0.0
20140103:0510,0.0,0.0,0.0,-1.35,0.28,0.0
20140103:0610,0.0,0.0,0.0,-2.04,0.3,0.0
20140103:0710,17007050.0,147.53,10.74,0.45,0.29,0.0
20140103:0810,24513700.0,205.73,18.36,2.94,0.29,0.0
20140103:0910,30199150.0,252.4,23.91,5.43,0.28,0.0
20140103:1010,29623500.0,249.06,26.8,6.4,0.54,0.0
20140103:1110,45045700.0,371.24,26.67,7.37,0.8,0.0
20140103:1210,67098750.0,553.49,23.52,8.35,1.06,0.0
