time,P,G(i),H_sun,T2m,WS10m,Int
20140719:0910,64753280.0,916.34,63.21,23.14,2.94,0.0
20140719:1010,69671600.0,995.76,69.41,23.95,3.16,0.0
20140719:1110,69554760.0,994.92,68.7,24.75,3.38,0.0
20140719:1210,58510160.0,826.78,61.59,25.56,3.6,0.0
20140719:1310,30670960.0,429.93,51.57,25.29,3.39,0.0
20140719:1410,29260600.0,410.2,40.52,25.03,3.18,0.0
20140719:1510,16331840.0,237.68,29.18,24.76,2.97,0.0
20140719:1610,8590960.0,138.52,17.94,24.31,2.76,0.0
20140719:1710,1943960.0,40.73,7.09,23.86,2.56,0.0
20140719:1810,0.0,0.0,0.0,23.4,2.36,0.0
20140719:1910,0.0,0.0,0.0,23.2,1.7,0.0
20140719:2010,0.0,0.0,0.0,22.99,1.03,0.0
20140719:2110,0.0,0.0,0.0,22.79,0.37,0.0
20140719:2210,0.0,0.0,0.0,22.81,0.83,0.0
20140719:2310,0.0,0.0,0.0,22.84,1.29,0.0
20140720:0010,0.0,0.0,0.0,22.86,1.75,0.0
20140720:0110,0.0,0.0,0.0,22.78,1.43,0.0
20140720:0210,0.0,0.0,0.0,22.7,1.11,0.0
20140720:0310,0.0,0.0,0.0,22.62,0.79,0.0
20140720:0410,2135320.0,43.44,8.93,22.66,0.82,0.0
20140720:0510,11657320.0,192.73,19.88,22.7,0.85,0.0
20140720:0610,28282640.0,405.68,31.16,22.74,0.88,0.0
20140720:0710,44746040.0,630.93,42.48,23.17,1.18,0.0
20140720:0810,57328880.0,819.58,53.41,23.6,1.48,0.0
20140720:0910,65004440.0,941.81,63.06,24.03,1.78,0.0
20140720:1010,65262960.0,957.91,69.23,24.86,1.54,0.0
20140720:1110,55744640.0,812.84,68.53,25.7,1.31,0.0
20140720:1210,60709880.0,897.97,61.46,26.53,1.08,0.0
20140720:1310,48964240.0,711.3,51.46,26.54,0.85,0.0
20140720:1410,33601160.0,483.23,40.42,26.55,0.62,0.0
20140720:1510,25542880.0,380.98,29.08,26.56,0.39,0.0
20140720:1610,6561440.0,108.31,17.84,26.68,1.03,0.0
20140720:1710,14720.0,6.34,6.98,26.8,1.68,0.0
20140720:1810,0.0,0.0,0.0,26.91,2.33,0.0
20140720:1910,0.0,0.0,0.0,26.74,2.23,0.0
20140720:2010,0.0,0.0,0.0,26.57,2.13,0.0
20140720:2110,0.0,0.0,0.0,26.4,2.03,0.0
20140720:2210,0.0,0.0,0.0,26.08,1.8,0.0
20140720:2310,0.0,0.0,0.0,25.77,1.58,0.0
20140721:0010,0.0,0.0,0.0,25.45,1.35,0.0
20140721:0110,0.0,0.0,0.0,25.27,1.13,0.0
20140721:0210,0.0,0.0,0.0,25.08,0.9,0.0
20140721:0310,0.0,0.0,0.0,24.9,0.68,0.0
