time,P,G(i),H_sun,T2m,WS10m,Int
20140710:1110,37341600.0,844.87,69.34,28.27,1.56,0.0
20140710:1210,38728200.0,876.77,61.62,28.61,1.61,0.0
20140710:1310,30209400.0,669.14,51.35,28.26,1.62,0.0
20140710:1410,25219800.0,554.81,40.22,27.91,1.63,0.0
20140710:1510,15645000.0,358.4,28.91,27.57,1.64,0.0
20140710:1610,5170200.0,150.79,17.77,26.65,1.57,0.0
20140710:1710,1139400.0,38.01,7.06,25.74,1.5,0.0
20140710:1810,0.0,0.0,0.0,24.82,1.43,0.0
20140710:1910,0.0,0.0,0.0,24.58,1.32,0.0
20140710:2010,0.0,0.0,0.0,24.34,1.2,0.0
20140710:2110,0.0,0.0,0.0,24.09,1.09,0.0
20140710:2210,0.0,0.0,0.0,24.05,1.12,0.0
20140710:2310,0.0,0.0,0.0,24.01,1.15,0.0
20140711:0010,0.0,0.0,0.0,23.97,1.19,0.0
20140711:0110,0.0,0.0,0.0,23.61,1.08,0.0
20140711:0210,0.0,0.0,0.0,23.26,0.97,0.0
20140711:0310,0.0,0.0,0.0,22.9,0.87,0.0
20140711:0410,1543200.0,47.06,10.93,23.71,0.79,0.0
20140711:0510,2836200.0,75.68,21.84,24.53,0.7,0.0
20140711:0610,13694400.0,304.36,33.08,25.34,0.62,0.0
20140711:0710,21607200.0,473.44,44.37,26.37,1.1,0.0
20140711:0810,32115600.0,711.64,55.28,27.41,1.59,0.0
20140711:0910,38180400.0,857.48,64.87,28.44,2.07,0.0
20140711:1010,44770200.0,1018.12,70.73,28.66,2.38,0.0
20140711:1110,44621400.0,1009.55,69.24,28.88,2.69,0.0
20140711:1210,30957000.0,681.57,61.55,29.1,2.99,0.0
20140711:1310,19812000.0,434.73,51.29,28.83,2.76,0.0
20140711:1410,15127800.0,334.74,40.17,28.56,2.53,0.0
20140711:1510,10416000.0,237.5,28.86,28.3,2.3,0.0
20140711:1610,3296400.0,86.5,17.72,27.19,1.71,0.0
20140711:1710,1213200.0,39.82,7.0,26.08,1.12,0.0
20140711:1810,0.0,0.0,0.0,24.96,0.52,0.0
20140711:1910,0.0,0.0,0.0,24.58,0.71,0.0
20140711:2010,0.0,0.0,0.0,24.19,0.9,0.0
20140711:2110,0.0,0.0,0.0,23.8,1.09,0.0
20140711:2210,0.0,0.0,0.0,23.56,1.35,0.0
20140711:2310,0.0,0.0,0.0,23.32,1.61,0.0
20140712:0010,0.0,0.0,0.0,23.08,1.88,0.0
20140712:0110,0.0,0.0,0.0,22.63,1.82,0.0
20140712:0210,0.0,0.0,0.0,22.17,1.77,0.0
20140712:0310,0.0,0.0,0.0,21.72,1.71,0.0
20140712:0410,2418600.0,66.07,10.82,22.5,1.31,0.0
20140712:0510,8756400.0,215.31,21.73,23.29,0.92,0.0
20140712:0610,20061600.0,444.16,32.98,24.07,0.52,0.0
20140712:0710,24906600.0,547.16,44.27,25.36,0.57,0.0
20140712:0810,27942000.0,621.59,55.17,26.64,0.63,0.0
20140712:0910,19356000.0,430.89,64.75,27.93,0.68,0.0
20140712:1010,29943600.0,672.12,70.59,28.35,1.13,0.0
20140712:1110,37753200.0,857.07,69.12,28.77,1.59,0.0
20140712:1210,39320400.0,887.46,61.47,29.19,2.04,0.0
20140712:1310,34225200.0,762.72,51.23,29.03,1.83,0.0
20140712:1410,26316000.0,582.0,40.12,28.87,1.63,0.0
20140712:1510,15486000.0,357.06,28.81,28.71,1.42,0.0
20140712:1610,5229600.0,150.38,17.66,27.51,1.49,0.0
20140712:1710,1212000.0,39.82,6.94,26.31,1.55,0.0
20140712:1810,0.0,0.0,0.0,25.11,1.61,0.0
20140712:1910,0.0,0.0,0.0,24.73,1.71,0.0
20140712:2010,0.0,0.0,0.0,24.35,1.82,0.0
20140712:2110,0.0,0.0,0.0,23.97,1.92,0.0
20140712:2210,0.0,0.0,0.0,23.28,1.66,0.0
20140712:2310,0.0,0.0,0.0,22.6,1.4,0.0
20140713:0010,0.0,0.0,0.0,21.91,1.14,0.0
20140713:0110,0.0,0.0,0.0,21.43,1.09,0.0
20140713:0210,0.0,0.0,0.0,20.94,1.04,0.0
20140713:0310,0.0,0.0,0.0,20.46,0.99,0.0
20140713:0410,2011800.0,57.02,10.71,21.51,1.14,0.0
20140713:0510,8809200.0,224.17,21.63,22.56,1.3,0.0
