time,P,G(i),H_sun,T2m,WS10m,Int
20140105:0310,0.0,0.0,0.0,-1.97,0.54,0.0
20140105:0410,0.0,0.0,0.0,-1.9,0.58,0.0
20140105:0510,0.0,0.0,0.0,-1.82,0.62,0.0
20140105:0610,0.0,0.0,0.0,-1.74,0.66,0.0
20140105:0710,24232400.0,249.26,10.6,0.67,0.75,0.0
20140105:0810,48945040.0,492.49,18.22,3.07,0.85,0.0
20140105:0910,51992360.0,528.99,23.76,5.47,0.94,0.0
20140105:1010,56888720.0,581.47,26.67,6.29,1.18,0.0
20140105:1110,46195840.0,471.1,26.56,7.1,1.43,0.0
20140105:1210,24308960.0,254.78,23.45,7.92,1.67,0.0
20140105:1310,33592440.0,343.46,17.75,6.71,1.52,0.0
20140105:1410,6246600.0,77.83,10.01,5.5,1.37,0.0
20140105:1510,0.0,0.0,0.0,4.29,1.23,0.0
20140105:1610,0.0,0.0,0.0,3.96,1.2,0.0
20140105:1710,0.0,0.0,0.0,3.63,1.18,0.0
20140105:1810,0.0,0.0,0.0,3.31,1.16,0.0
20140105:1910,0.0,0.0,0.0,3.54,1.2,0.0
20140105:2010,0.0,0.0,0.0,3.77,1.25,0.0
20140105:2110,0.0,0.0,0.0,4.01,1.3,0.0
20140105:2210,0.0,0.0,0.0,4.26,1.34,0.0
20140105:2310,0.0,0.0,0.0,4.51,1.38,0.0
20140106:0010,0.0,0.0,0.0,4.76,1.42,0.0
20140106:0110,0.0,0.0,0.0,4.77,1.41,0.0
20140106:0210,0.0,0.0,0.0,4.78,1.4,0.0
20140106:0310,0.0,0.0,0.0,4.79,1.39,0.0
20140106:0410,0.0,0.0,0.0,4.8,1.4,0.0
20140106:0510,0.0,0.0,0.0,4.82,1.4,0.0
20140106:0610,0.0,0.0,0.0,4.84,1.41,0.0
20140106:0710,1219160.0,23.65,10.63,5.4,1.35,0.0
20140106:0810,4097120.0,55.81,18.27,5.95,1.3,0.0
20140106:0910,10658080.0,122.03,23.84,6.5,1.24,0.0
20140106:1010,20306960.0,215.69,26.77,6.69,1.31,0.0
20140106:1110,29931480.0,308.96,26.69,6.87,1.37,0.0
20140106:1210,5530880.0,70.95,23.6,7.06,1.43,0.0
20140106:1310,6369560.0,79.46,17.9,6.91,1.3,0.0
20140106:1410,699480.0,17.03,10.16,6.75,1.17,0.0
20140106:1510,0.0,0.0,0.0,6.6,1.03,0.0
20140106:1610,0.0,0.0,0.0,6.1,1.12,0.0
20140106:1710,0.0,0.0,0.0,5.61,1.2,0.0
20140106:1810,0.0,0.0,0.0,5.12,1.28,0.0
20140106:1910,0.0,0.0,0.0,4.66,1.23,0.0
20140106:2010,0.0,0.0,0.0,4.2,1.18,0.0
20140106:2110,0.0,0.0,0.0,3.74,1.13,0.0
20140106:2210,0.0,0.0,0.0,3.54,1.14,0.0
20140106:2310,0.0,0.0,0.0,3.35,1.15,0.0
20140107:0010,0.0,0.0,0.0,3.15,1.16,0.0
20140107:0110,0.0,0.0,0.0,3.3,1.11,0.0
20140107:0210,0.0,0.0,0.0,3.45,1.07,0.0
20140107:0310,0.0,0.0,0.0,3.61,1.02,0.0
20140107:0410,0.0,0.0,0.0,3.26,1.03,0.0
20140107:0510,0.0,0.0,0.0,2.92,1.04,0.0
20140107:0610,0.0,0.0,0.0,2.57,1.05,0.0
20140107:0710,14036000.0,153.87,10.67,4.3,0.9,0.0
20140107:0810,56110360.0,575.85,18.33,6.03,0.74,0.0
20140107:0910,71524440.0,753.89,23.93,7.76,0.59,0.0
20140107:1010,78260560.0,839.96,26.89,8.46,0.44,0.0
20140107:1110,78587680.0,850.34,26.82,9.16,0.29,0.0
20140107:1210,68982880.0,739.79,23.74,9.86,0.14,0.0
20140107:1310,56917720.0,600.19,18.05,9.55,0.18,0.0
20140107:1410,26425960.0,282.48,10.32,9.24,0.22,0.0
20140107:1510,0.0,0.0,0.0,8.93,0.26,0.0
20140107:1610,0.0,0.0,0.0,7.99,0.55,0.0
20140107:1710,0.0,0.0,0.0,7.05,0.83,0.0
20140107:1810,0.0,0.0,0.0,6.12,1.12,0.0
20140107:1910,0.0,0.0,0.0,5.07,1.12,0.0
20140107:2010,0.0,0.0,0.0,4.02,1.13,0.0
