time,P,G(i),H_sun,T2m,WS10m,Int
20140105:0310,0.0,0.0,0.0,0.37,0.36,0.0
20140105:0410,0.0,0.0,0.0,0.17,0.51,0.0
20140105:0510,0.0,0.0,0.0,-0.04,0.66,0.0
20140105:0610,2450.0,5.68,2.53,-0.25,0.81,0.0
20140105:0710,2028950.0,81.37,11.36,1.76,0.86,0.0
20140105:0810,2179100.0,87.03,18.61,3.78,0.91,0.0
20140105:0910,2992150.0,114.46,23.72,5.79,0.95,0.0
20140105:1010,1474200.0,64.33,26.16,7.07,0.98,0.0
20140105:1110,2698850.0,105.95,25.61,8.36,1.02,0.0
20140105:1210,3508750.0,133.23,22.13,9.64,1.05,0.0
20140105:1310,1853250.0,77.57,16.17,8.11,0.86,0.0
20140105:1410,253750.0,18.92,8.28,6.59,0.66,0.0
20140105:1510,0.0,0.0,0.0,5.06,0.47,0.0
20140105:1610,0.0,0.0,0.0,4.33,0.47,0.0
20140105:1710,0.0,0.0,0.0,3.6,0.47,0.0
20140105:1810,0.0,0.0,0.0,2.87,0.47,0.0
20140105:1910,0.0,0.0,0.0,2.46,0.55,0.0
20140105:2010,0.0,0.0,0.0,2.04,0.63,0.0
20140105:2110,0.0,0.0,0.0,1.63,0.7,0.0
20140105:2210,0.0,0.0,0.0,1.55,0.85,0.0
20140105:2310,0.0,0.0,0.0,1.46,1.0,0.0
20140106:0010,0.0,0.0,0.0,1.38,1.14,0.0
20140106:0110,0.0,0.0,0.0,1.19,0.97,0.0
20140106:0210,0.0,0.0,0.0,1.0,0.79,0.0
20140106:0310,0.0,0.0,0.0,0.8,0.61,0.0
20140106:0410,0.0,0.0,0.0,0.69,0.63,0.0
20140106:0510,0.0,0.0,0.0,0.58,0.65,0.0
20140106:0610,30100.0,7.57,2.55,0.47,0.68,0.0
20140106:0710,1536500.0,65.45,11.4,3.16,0.8,0.0
20140106:0810,4433450.0,160.52,18.67,5.85,0.91,0.0
20140106:0910,8904350.0,307.21,23.81,8.54,1.03,0.0
20140106:1010,7145950.0,251.53,26.27,9.47,1.02,0.0
20140106:1110,17425100.0,603.99,25.73,10.39,1.01,0.0
20140106:1210,17502100.0,609.24,22.28,11.32,0.99,0.0
20140106:1310,9781100.0,338.7,16.32,10.24,0.96,0.0
20140106:1410,7610400.0,271.41,8.43,9.15,0.92,0.0
20140106:1510,0.0,0.0,0.0,8.07,0.88,0.0
20140106:1610,0.0,0.0,0.0,6.89,0.85,0.0
20140106:1710,0.0,0.0,0.0,5.72,0.81,0.0
20140106:1810,0.0,0.0,0.0,4.54,0.77,0.0
20140106:1910,0.0,0.0,0.0,3.6,0.63,0.0
20140106:2010,0.0,0.0,0.0,2.66,0.49,0.0
20140106:2110,0.0,0.0,0.0,1.72,0.34,0.0
20140106:2210,0.0,0.0,0.0,1.24,0.26,0.0
20140106:2310,0.0,0.0,0.0,0.77,0.17,0.0
20140107:0010,0.0,0.0,0.0,0.29,0.08,0.0
20140107:0110,0.0,0.0,0.0,0.15,0.29,0.0
20140107:0210,0.0,0.0,0.0,0.01,0.51,0.0
20140107:0310,0.0,0.0,0.0,-0.13,0.72,0.0
20140107:0410,0.0,0.0,0.0,-0.71,0.6,0.0
20140107:0510,0.0,0.0,0.0,-1.3,0.48,0.0
20140107:0610,459550.0,27.97,2.57,-1.88,0.36,0.0
20140107:0710,5624850.0,196.29,11.44,1.68,0.31,0.0
20140107:0810,14534800.0,492.86,18.73,5.24,0.27,0.0
20140107:0910,20712300.0,730.41,23.9,8.8,0.22,0.0
20140107:1010,22989050.0,823.08,26.38,10.09,0.4,0.0
20140107:1110,22723750.0,814.54,25.87,11.38,0.58,0.0
20140107:1210,19405400.0,687.0,22.43,12.67,0.76,0.0
20140107:1310,14980700.0,521.48,16.48,11.58,0.85,0.0
20140107:1410,7290500.0,261.95,8.59,10.5,0.93,0.0
20140107:1510,0.0,0.0,0.0,9.41,1.02,0.0
