time,P,G(i),H_sun,T2m,WS10m,Int
20140515:0310,0.0,0.0,0.0,15.37,2.84,0.0
20140515:0410,2654400.0,55.21,9.06,15.77,3.0,0.0
20140515:0510,10984000.0,188.6,20.42,16.17,3.16,0.0
20140515:0610,21778400.0,341.4,32.03,16.56,3.32,0.0
20140515:0710,38289600.0,589.19,43.6,16.46,3.16,0.0
20140515:0810,49754400.0,773.51,54.66,16.35,3.0,0.0
20140515:0910,45668800.0,711.02,64.18,16.24,2.84,0.0
20140515:1010,64564000.0,1026.54,69.58,16.29,3.09,0.0
20140515:1110,62683200.0,990.1,67.54,16.33,3.34,0.0
20140515:1210,40762400.0,628.32,59.55,16.37,3.59,0.0
20140515:1310,49302400.0,757.87,49.03,16.29,3.77,0.0
20140515:1410,34035200.0,521.83,37.63,16.21,3.95,0.0
20140515:1510,18040800.0,291.42,25.99,16.13,4.14,0.0
20140515:1610,5351200.0,100.37,14.48,16.22,3.57,0.0
20140515:1710,377600.0,15.39,3.36,16.32,3.0,0.0
20140515:1810,0.0,0.0,0.0,16.41,2.43,0.0
