time,P,G(i),H_sun,T2m,WS10m,Int
20140105:0210,0.0,0.0,0.0,-3.06,1.69,0.0
20140105:0310,0.0,0.0,0.0,-3.49,1.86,0.0
20140105:0410,0.0,0.0,0.0,-3.53,1.9,0.0
20140105:0510,0.0,0.0,0.0,-3.58,1.94,0.0
20140105:0610,0.0,0.0,0.0,-3.62,1.99,0.0
20140105:0710,13437000.0,65.16,10.44,-1.92,1.74,0.0
20140105:0810,31956000.0,134.85,18.07,-0.22,1.5,0.0
20140105:0910,105426000.0,405.63,23.64,1.48,1.26,0.0
20140105:1010,78255000.0,305.14,26.58,1.91,1.5,0.0
20140105:1110,100215000.0,386.73,26.51,2.34,1.74,0.0
20140105:1210,116886000.0,449.27,23.45,2.77,1.99,0.0
20140105:1310,29211000.0,125.8,17.78,2.02,1.94,0.0
20140105:1410,13230000.0,65.16,10.07,1.28,1.89,0.0
20140105:1510,0.0,0.0,0.0,0.53,1.83,0.0
20140105:1610,0.0,0.0,0.0,0.69,1.96,0.0
20140105:1710,0.0,0.0,0.0,0.85,2.08,0.0
20140105:1810,0.0,0.0,0.0,1.01,2.21,0.0
20140105:1910,0.0,0.0,0.0,1.3,2.0,0.0
20140105:2010,0.0,0.0,0.0,1.59,1.8,0.0
20140105:2110,0.0,0.0,0.0,1.88,1.6,0.0
20140105:2210,0.0,0.0,0.0,1.97,1.59,0.0
20140105:2310,0.0,0.0,0.0,2.06,1.57,0.0
20140106:0010,0.0,0.0,0.0,2.15,1.56,0.0
20140106:0110,0.0,0.0,0.0,2.3,1.56,0.0
20140106:0210,0.0,0.0,0.0,2.46,1.56,0.0
20140106:0310,0.0,0.0,0.0,2.61,1.56,0.0
20140106:0410,0.0,0.0,0.0,2.59,1.46,0.0
20140106:0510,0.0,0.0,0.0,2.57,1.37,0.0
20140106:0610,0.0,0.0,0.0,2.55,1.27,0.0
20140106:0710,2067000.0,18.1,10.48,2.42,1.18,0.0
20140106:0810,12231000.0,61.54,18.12,2.29,1.09,0.0
20140106:0910,23328000.0,104.06,23.72,2.16,1.01,0.0
20140106:1010,29133000.0,125.82,26.68,2.28,1.16,0.0
20140106:1110,22059000.0,99.33,26.64,2.41,1.32,0.0
20140106:1210,30744000.0,131.8,23.59,2.53,1.48,0.0
20140106:1310,12246000.0,61.54,17.93,2.13,1.29,0.0
20140106:1410,1722000.0,16.29,10.22,1.72,1.11,0.0
20140106:1510,0.0,0.0,0.0,1.32,0.92,0.0
20140106:1610,0.0,0.0,0.0,1.04,1.15,0.0
20140106:1710,0.0,0.0,0.0,0.76,1.38,0.0
20140106:1810,0.0,0.0,0.0,0.47,1.61,0.0
20140106:1910,0.0,0.0,0.0,0.28,1.53,0.0
20140106:2010,0.0,0.0,0.0,0.09,1.44,0.0
20140106:2110,0.0,0.0,0.0,-0.1,1.35,0.0
20140106:2210,0.0,0.0,0.0,-0.35,1.39,0.0
20140106:2310,0.0,0.0,0.0,-0.59,1.43,0.0
20140107:0010,0.0,0.0,0.0,-0.84,1.48,0.0
20140107:0110,0.0,0.0,0.0,-0.67,1.46,0.0
20140107:0210,0.0,0.0,0.0,-0.49,1.44,0.0
20140107:0310,0.0,0.0,0.0,-0.32,1.42,0.0
20140107:0410,0.0,0.0,0.0,-0.63,1.48,0.0
20140107:0510,0.0,0.0,0.0,-0.95,1.53,0.0
20140107:0610,0.0,0.0,0.0,-1.26,1.59,0.0
20140107:0710,5457000.0,33.49,10.51,0.03,1.24,0.0
20140107:0810,12288000.0,61.54,18.19,1.31,0.9,0.0
20140107:0910,189561000.0,754.34,23.8,2.6,0.55,0.0
20140107:1010,157185000.0,620.11,26.8,3.46,0.53,0.0
20140107:1110,163128000.0,648.02,26.77,4.32,0.51,0.0
20140107:1210,138477000.0,547.54,23.74,5.18,0.5,0.0
20140107:1310,28503000.0,124.9,18.08,4.74,0.58,0.0
20140107:1410,8094000.0,45.25,10.38,4.3,0.66,0.0
20140107:1510,0.0,0.0,0.0,3.86,0.74,0.0
20140107:1610,0.0,0.0,0.0,2.79,0.62,0.0
20140107:1710,0.0,0.0,0.0,1.72,0.49,0.0
20140107:1810,0.0,0.0,0.0,0.64,0.36,0.0
20140107:1910,0.0,0.0,0.0,-0.21,0.49,0.0
20140107:2010,0.0,0.0,0.0,-1.07,0.62,0.0
20140107:2110,0.0,0.0,0.0,-1.93,0.74,0.0
20140107:2210,0.0,0.0,0.0,-2.41,1.0,0.0
20140107:2310,0.0,0.0,0.0,-2.88,1.25,0.0
20140108:0010,0.0,0.0,0.0,-3.36,1.5,0.0
20140108:0110,0.0,0.0,0.0,-3.31,1.61,0.0
20140108:0210,0.0,0.0,0.0,-3.25,1.71,0.0
20140108:0310,0.0,0.0,0.0,-3.2,1.82,0.0
20140108:0410,0.0,0.0,0.0,-3.19,1.6,0.0
20140108:0510,0.0,0.0,0.0,-3.19,1.37,0.0
20140108:0610,0.0,0.0,0.0,-3.18,1.14,0.0
20140108:0710,8115000.0,44.35,10.56,-1.45,1.03,0.0
20140108:0810,14685000.0,70.59,18.25,0.28,0.92,0.0
20140108:0910,189603000.0,748.4,23.9,2.01,0.81,0.0
20140108:1010,187926000.0,746.31,26.91,3.38,0.89,0.0
20140108:1110,201054000.0,808.14,26.91,4.75,0.96,0.0
20140108:1210,188889000.0,758.28,23.89,6.12,1.03,0.0
20140108:1310,9147000.0,49.78,18.24,5.35,1.07,0.0
20140108:1410,7224000.0,41.63,10.54,4.59,1.1,0.0
20140108:1510,0.0,0.0,0.0,3.82,1.13,0.0
20140108:1610,0.0,0.0,0.0,2.48,1.21,0.0
20140108:1710,0.0,0.0,0.0,1.14,1.29,0.0
20140108:1810,0.0,0.0,0.0,-0.2,1.37,0.0
20140108:1910,0.0,0.0,0.0,-0.98,1.44,0.0
20140108:2010,0.0,0.0,0.0,-1.77,1.52,0.0
20140108:2110,0.0,0.0,0.0,-2.56,1.6,0.0
20140108:2210,0.0,0.0,0.0,-3.08,1.69,0.0
20140108:2310,0.0,0.0,0.0,-3.6,1.77,0.0
20140109:0010,0.0,0.0,0.0,-4.13,1.86,0.0
20140109:0110,0.0,0.0,0.0,-4.42,1.87,0.0
20140109:0210,0.0,0.0,0.0,-4.71,1.88,0.0
20140109:0310,0.0,0.0,0.0,-5.0,1.89,0.0
20140109:0410,0.0,0.0,0.0,-5.27,1.81,0.0
20140109:0510,0.0,0.0,0.0,-5.55,1.72,0.0
20140109:0610,0.0,0.0,0.0,-5.82,1.64,0.0
20140109:0710,8625000.0,46.16,10.61,-2.88,1.29,0.0
20140109:0810,14229000.0,68.78,18.33,0.06,0.94,0.0
20140109:0910,191085000.0,761.89,24.0,3.0,0.59,0.0
20140109:1010,208164000.0,844.76,27.04,4.34,0.59,0.0
20140109:1110,208104000.0,850.63,27.06,5.67,0.58,0.0
20140109:1210,187284000.0,761.33,24.05,7.01,0.58,0.0
20140109:1310,7785000.0,44.35,18.41,6.65,0.7,0.0
20140109:1410,8016000.0,45.25,10.71,6.29,0.83,0.0
20140109:1510,0.0,0.0,0.0,5.93,0.95,0.0
20140109:1610,0.0,0.0,0.0,5.02,0.95,0.0
20140109:1710,0.0,0.0,0.0,4.11,0.95,0.0
20140109:1810,0.0,0.0,0.0,3.19,0.95,0.0
20140109:1910,0.0,0.0,0.0,2.43,0.93,0.0
20140109:2010,0.0,0.0,0.0,1.67,0.91,0.0
20140109:2110,0.0,0.0,0.0,0.9,0.88,0.0
20140109:2210,0.0,0.0,0.0,0.52,0.92,0.0
20140109:2310,0.0,0.0,0.0,0.15,0.96,0.0
20140110:0010,0.0,0.0,0.0,-0.23,0.99,0.0
20140110:0110,0.0,0.0,0.0,-0.89,1.03,0.0
20140110:0210,0.0,0.0,0.0,-1.54,1.06,0.0
20140110:0310,0.0,0.0,0.0,-2.2,1.09,0.0
20140110:0410,0.0,0.0,0.0,-2.23,1.14,0.0
20140110:0510,0.0,0.0,0.0,-2.26,1.2,0.0
20140110:0610,0.0,0.0,0.0,-2.29,1.26,0.0
20140110:0710,8094000.0,44.35,10.67,-0.89,1.27,0.0
20140110:0810,23529000.0,104.08,18.41,0.5,1.29,0.0
20140110:0910,161829000.0,627.06,24.11,1.9,1.31,0.0
20140110:1010,209967000.0,832.54,27.18,2.78,1.37,0.0
20140110:1110,216702000.0,864.82,27.21,3.65,1.44,0.0
20140110:1210,122694000.0,477.31,24.22,4.53,1.5,0.0
20140110:1310,18003000.0,84.17,18.58,3.24,1.65,0.0
20140110:1410,9984000.0,52.49,10.88,1.95,1.79,0.0
20140110:1510,0.0,0.0,0.0,0.66,1.93,0.0
20140110:1610,0.0,0.0,0.0,0.11,1.96,0.0
20140110:1710,0.0,0.0,0.0,-0.43,1.99,0.0
20140110:1810,0.0,0.0,0.0,-0.98,2.01,0.0
20140110:1910,0.0,0.0,0.0,-0.72,2.21,0.0
20140110:2010,0.0,0.0,0.0,-0.46,2.4,0.0
20140110:2110,0.0,0.0,0.0,-0.21,2.59,0.0
20140110:2210,0.0,0.0,0.0,-1.02,2.46,0.0
20140110:2310,0.0,0.0,0.0,-1.83,2.34,0.0
20140111:0010,0.0,0.0,0.0,-2.65,2.21,0.0
20140111:0110,0.0,0.0,0.0,-2.69,2.22,0.0
20140111:0210,0.0,0.0,0.0,-2.74,2.23,0.0
20140111:0310,0.0,0.0,0.0,-2.78,2.23,0.0
20140111:0410,0.0,0.0,0.0,-3.0,1.98,0.0
20140111:0510,0.0,0.0,0.0,-3.22,1.73,0.0
20140111:0610,0.0,0.0,0.0,-3.44,1.48,0.0
20140111:0710,8340000.0,45.25,10.73,-1.48,1.11,0.0
20140111:0810,15606000.0,74.22,18.5,0.47,0.75,0.0
20140111:0910,190107000.0,758.67,24.22,2.43,0.39,0.0
20140111:1010,206412000.0,835.14,27.32,3.59,0.51,0.0
20140111:1110,198192000.0,800.99,27.38,4.74,0.63,0.0
20140111:1210,178524000.0,716.32,24.39,5.9,0.74,0.0
20140111:1310,15711000.0,76.03,18.76,5.2,0.66,0.0
20140111:1410,8961000.0,48.87,11.06,4.49,0.58,0.0
20140111:1510,0.0,0.0,0.0,3.79,0.5,0.0
20140111:1610,0.0,0.0,0.0,3.44,0.56,0.0
20140111:1710,0.0,0.0,0.0,3.09,0.62,0.0
20140111:1810,0.0,0.0,0.0,2.74,0.68,0.0
20140111:1910,0.0,0.0,0.0,2.2,0.68,0.0
20140111:2010,0.0,0.0,0.0,1.66,0.69,0.0
20140111:2110,0.0,0.0,0.0,1.12,0.69,0.0
20140111:2210,0.0,0.0,0.0,1.03,0.64,0.0
20140111:2310,0.0,0.0,0.0,0.94,0.59,0.0
20140112:0010,0.0,0.0,0.0,0.84,0.54,0.0
20140112:0110,0.0,0.0,0.0,0.51,0.58,0.0
20140112:0210,0.0,0.0,0.0,0.18,0.62,0.0
20140112:0310,0.0,0.0,0.0,-0.15,0.66,0.0
20140112:0410,0.0,0.0,0.0,-0.13,0.75,0.0
20140112:0510,0.0,0.0,0.0,-0.11,0.84,0.0
20140112:0610,0.0,0.0,0.0,-0.09,0.92,0.0
20140112:0710,15798000.0,75.12,10.8,1.09,0.87,0.0
20140112:0810,26442000.0,115.85,18.59,2.27,0.82,0.0
20140112:0910,147003000.0,575.61,24.34,3.45,0.77,0.0
20140112:1010,208461000.0,836.08,27.46,4.04,1.08,0.0
20140112:1110,215349000.0,864.24,27.54,4.63,1.39,0.0
20140112:1210,192789000.0,763.63,24.57,5.22,1.7,0.0
20140112:1310,7011000.0,40.73,18.94,4.63,1.64,0.0
20140112:1410,9879000.0,52.49,11.24,4.03,1.58,0.0
20140112:1510,0.0,0.0,0.0,3.44,1.52,0.0
20140112:1610,0.0,0.0,0.0,3.06,1.6,0.0
20140112:1710,0.0,0.0,0.0,2.68,1.69,0.0
20140112:1810,0.0,0.0,0.0,2.29,1.78,0.0
20140112:1910,0.0,0.0,0.0,1.86,1.72,0.0
20140112:2010,0.0,0.0,0.0,1.42,1.67,0.0
20140112:2110,0.0,0.0,0.0,0.98,1.61,0.0
20140112:2210,0.0,0.0,0.0,0.28,1.78,0.0
20140112:2310,0.0,0.0,0.0,-0.42,1.94,0.0
20140113:0010,0.0,0.0,0.0,-1.12,2.11,0.0
20140113:0110,0.0,0.0,0.0,-1.33,2.23,0.0
20140113:0210,0.0,0.0,0.0,-1.55,2.36,0.0
20140113:0310,0.0,0.0,0.0,-1.76,2.48,0.0
20140113:0410,0.0,0.0,0.0,-2.08,2.37,0.0
20140113:0510,0.0,0.0,0.0,-2.4,2.26,0.0
20140113:0610,0.0,0.0,0.0,-2.72,2.15,0.0
20140113:0710,8985000.0,47.97,10.88,-0.79,1.66,0.0
20140113:0810,13926000.0,67.88,18.7,1.15,1.16,0.0
20140113:0910,186777000.0,742.6,24.47,3.08,0.66,0.0
20140113:1010,211554000.0,857.9,27.62,3.92,0.61,0.0
20140113:1110,200829000.0,814.2,27.72,4.77,0.56,0.0
20140113:1210,183816000.0,741.67,24.76,5.61,0.51,0.0
20140113:1310,21159000.0,96.84,19.13,4.53,0.8,0.0
20140113:1410,15390000.0,74.22,11.42,3.46,1.1,0.0
20140113:1510,0.0,0.0,0.0,2.38,1.39,0.0
20140113:1610,0.0,0.0,0.0,1.58,1.11,0.0
20140113:1710,0.0,0.0,0.0,0.79,0.82,0.0
20140113:1810,0.0,0.0,0.0,-0.01,0.54,0.0
20140113:1910,0.0,0.0,0.0,-0.46,0.63,0.0
20140113:2010,0.0,0.0,0.0,-0.91,0.73,0.0
