time,P,G(i),H_sun,T2m,WS10m,Int
20140623:1510,10327200.0,355.21,29.02,26.11,1.31,0.0
20140623:1610,3250000.0,145.4,17.94,25.06,1.43,0.0
20140623:1710,896000.0,42.54,7.33,24.01,1.55,0.0
20140623:1810,0.0,0.0,0.0,22.96,1.67,0.0
20140623:1910,0.0,0.0,0.0,22.62,1.23,0.0
20140623:2010,0.0,0.0,0.0,22.28,0.79,0.0
20140623:2110,0.0,0.0,0.0,21.94,0.34,0.0
20140623:2210,0.0,0.0,0.0,21.79,0.29,0.0
20140623:2310,0.0,0.0,0.0,21.63,0.23,0.0
20140624:0010,0.0,0.0,0.0,21.47,0.18,0.0
20140624:0110,0.0,0.0,0.0,21.3,0.26,0.0
20140624:0210,0.0,0.0,0.0,21.12,0.34,0.0
20140624:0310,0.0,0.0,0.0,20.95,0.43,0.0
20140624:0410,1369200.0,62.75,12.32,21.85,0.42,0.0
20140624:0510,6482800.0,241.19,23.19,22.75,0.41,0.0
20140624:0610,13860400.0,458.92,34.41,23.65,0.4,0.0
20140624:0710,20412000.0,674.64,45.69,24.58,0.6,0.0
20140624:0810,24868800.0,838.39,56.63,25.52,0.8,0.0
20140624:0910,28154800.0,967.75,66.29,26.45,1.01,0.0
20140624:1010,29683600.0,1027.21,72.06,26.75,1.19,0.0
20140624:1110,29216800.0,1005.49,70.08,27.05,1.37,0.0
20140624:1210,27172800.0,921.52,61.96,27.34,1.54,0.0
20140624:1310,23018800.0,768.87,51.51,27.25,1.31,0.0
20140624:1410,17311600.0,573.43,40.34,27.17,1.09,0.0
20140624:1510,10189600.0,352.68,29.05,27.08,0.86,0.0
20140624:1610,3339200.0,147.0,17.96,26.04,1.09,0.0
20140624:1710,891200.0,42.54,7.36,24.99,1.33,0.0
20140624:1810,0.0,0.0,0.0,23.95,1.57,0.0
20140624:1910,0.0,0.0,0.0,23.59,1.27,0.0
20140624:2010,0.0,0.0,0.0,23.23,0.97,0.0
20140624:2110,0.0,0.0,0.0,22.87,0.66,0.0
20140624:2210,0.0,0.0,0.0,22.82,0.67,0.0
20140624:2310,0.0,0.0,0.0,22.77,0.67,0.0
20140625:0010,0.0,0.0,0.0,22.72,0.68,0.0
20140625:0110,0.0,0.0,0.0,22.49,0.61,0.0
20140625:0210,0.0,0.0,0.0,22.26,0.54,0.0
20140625:0310,0.0,0.0,0.0,22.03,0.47,0.0
20140625:0410,1927600.0,77.53,12.27,22.94,0.45,0.0
20140625:0510,6274400.0,225.75,23.14,23.84,0.42,0.0
20140625:0610,12884400.0,427.99,34.35,24.75,0.4,0.0
20140625:0710,19049600.0,632.83,45.64,25.64,0.46,0.0
20140625:0810,22707200.0,768.71,56.58,26.52,0.53,0.0
20140625:0910,18686400.0,628.62,66.24,27.41,0.59,0.0
20140625:1010,15109600.0,502.32,72.03,27.71,1.16,0.0
20140625:1110,14804400.0,490.01,70.08,28.01,1.72,0.0
20140625:1210,11361200.0,376.15,61.98,28.3,2.29,0.0
20140625:1310,22786000.0,754.1,51.54,28.12,2.23,0.0
20140625:1410,12798800.0,421.32,40.36,27.95,2.17,0.0
20140625:1510,10226800.0,352.02,29.07,27.77,2.11,0.0
20140625:1610,3553600.0,134.26,17.99,26.84,1.87,0.0
20140625:1710,887200.0,42.54,7.38,25.91,1.62,0.0
20140625:1810,0.0,0.0,0.0,24.98,1.38,0.0
20140625:1910,0.0,0.0,0.0,24.77,1.24,0.0
20140625:2010,0.0,0.0,0.0,24.57,1.1,0.0
20140625:2110,0.0,0.0,0.0,24.36,0.97,0.0
20140625:2210,0.0,0.0,0.0,24.34,0.96,0.0
20140625:2310,0.0,0.0,0.0,24.32,0.96,0.0
20140626:0010,0.0,0.0,0.0,24.3,0.95,0.0
